"PhaseOfEducation (code)","SchoolWebsite"
"2","www.fairlawn.lewisham.sch.uk"
"2","www.eliotbank.lewisham.sch.uk/"
"2","www.twinoaks.lewisham.sch.uk"
"2","http://www.myattgarden.lewisham.sch.uk/"
"2","www.hornimanprimary.com"
"2","www.perrymount.lewisham.sch.uk/"
"2","www.ashmeadprimary.wordpress.com/"
"2","www.brindisheschools.org/"
"2","www.kilmorieschool.co.uk"
"2","www.allsaints.lewisham.sch.uk/"
"2","http://www.goodshepherd.lewisham.sch.uk/"
"2","www.holytrinity.lewisham.sch.uk/"
"2","www.sml.london"
"2","http://www.staugustines.lewisham.sch.uk"
"2","www.st-bartholomews.lewisham.sch.uk/"
"2","www.sjb.lewisham.sch.uk"
"2","www.stjps.lewisham.sch.uk/"
"2","www.st-marys.lewisham.sch.uk/"
"2","www.stsaviours.lewisham.sch.uk"
"2","www.swoy.lewisham.sch.uk"
"2","www.holycross.lewisham.sch.uk/"
"4","http://www.deptfordgreen.lewisham.sch.uk/"
"4","http://www.sydenham.lewisham.sch.uk/"
"4","http://www.foresthillschool.co.uk/"
"4","http://www.as.lewisham.sch.uk"
"7","www.trinitylewisham.org"
"2","www.albionprimaryschool.co.uk/"
"2","www.bellenden.southwark.sch.uk/"
"2","www.birdinbushprimary.co.uk/"
"2","www.cramptonprimary.co.uk/"
"2","https://www.crawfordprimary.co.uk"
"2","www.goodrich.org.uk/"
"2","www.grange.southwark.sch.uk"
"2","www.heberprimaryschool.com/"
"2","www.hollydale.southwark.sch.uk/"
"2","www.mayflowerfederation.org.uk/"
"2","www.ivydaleschool.co.uk"
"2","www.johnruskin.southwark.sch.uk"
"2","www.thegemfederation.co.uk/keyworth-primary"
"2","www.dulwichwood.com/"
"2","www.michaelfaradayschool.co.uk/"
"2","www.riverside.southwark.sch.uk/"
"2","www.thebridgesfederation.org.uk"
"2","www.thebridgesfederation.org.uk"
"2","www.southwarkparkschool.co.uk"
"2","www.thebridgesfederation.org.uk"
"2","www.victory.southwark.sch.uk/"
"2","http://www.charlottesharman.co.uk"
"2","www.mayflowerfederation.org.uk"
"2","www.pilgrimsway.southwark.sch.uk"
"2","www.alfredsalter.com"
"2","www.olivergoldsmith.southwark.sch.uk"
"2","www.boutcher.southwark.sch.uk/"
"2","www.dulwichvillageinfants.co.uk"
"2","www.englishmartyrsprimary.school"
"2","www.stjamesthegreat.southwark.sch.uk"
"2","www.stfrancispeckham.co.uk"
"2","https://www.stgeorgesprimary.school"
"2","www.stgcs.southwark.sch.uk"
"2","www.stjamesschoolbermondsey.com"
"2","www.stjohnsandstclements.org"
"2","www.stjosephsprimary.org.uk"
"2","www.saintjosephsborough.co.uk"
"2","http://www.stjudessouthwark.co.uk"
"2","www.smmprimary.co.uk"
"2","www.peterhillsschool.co.uk"
"2","www.stpeterswalworth.co.uk"
"2","http://www.cathedralprimaryschool.com"
"2","www.stjohnsrotherhithe.co.uk/"
"4","www.ssso.southwark.sch.uk"
"2","http://www.stjosephs.southwark.sch.uk"
"2","www.stjosephs.southwark.sch.uk/"
"2","https://friarsprimaryschool.com/"
"4","http://www.stac.uk.com/"
"2","www.benjonson.towerhamlets.sch.uk"
"2","www.bonner.towerhamlets.sch.uk/"
"2","http://www.oldpalaceprimary.co.uk"
"2","www.cayley.towerhamlets.sch.uk/"
"2","www.bluegatefields-jun.towerhamlets.sch.uk/"
"2","www.chisenhale.towerhamlets.sch.uk/"
"2","https://www.ctpschool.org/"
"2","www.globeschool.org.uk/"
"2","shhfederation.org"
"2","https://www.harbinger.org.uk"
"2","https://www.johnscurr.towerhamlets.sch.uk"
"2","https://lawdalejuniorschool.co.uk/"
"2","www.elizabethselbyschool.co.uk"
"2","www.marionrichardson.towerhamlets.sch.uk/"
"2","http://www.marnerprimary.com"
"2","www.mayflower.towerhamlets.sch.uk/"
"2","www.mowlem.towerhamlets.sch.uk"
"2","www.bluegatefieldsinfant.co.uk/"
"2","www.olga.towerhamlets.sch.uk/"
"2","www.stepneypark.towerhamlets.sch.uk"
"2","www.manorfield.towerhamlets.sch.uk/"
"2","shhfederation.org"
"2","www.virginia.towerhamlets.sch.uk"
"2","www.wellington.towerhamlets.sch.uk"
"2","www.woolmore.towerhamlets.sch.uk/"
"2","www.thomasbuxton.towerhamlets.sch.uk"
"2","www.sevenmills.towerhamlets.sch.uk/"
"2","www.osmani.towerhamlets.sch.uk/"
"2","www.bangabandhu.towerhamlets.sch.uk"
"2","www.halley.towerhamlets.sch.uk/"
"2","www.biglandgreen.towerhamlets.sch.uk/"
"2","www.kobinazrul.towerhamlets.sch.uk"
"2","www.williamdavis.org.uk/"
"2","www.christchurchprimarybricklane.org"
"2","www.stepneygreencoat.towerhamlets.sch.uk/"
"2","https://www.st-agnes.towerhamlets.sch.uk/"
"2","www.stannesgaprimary.com"
"2","www.st-edmunds-school.org"
"2","http://www.st-johns.towerhamlets.sch.uk/"
"2","www.st-lukes.towerhamlets.sch.uk/"
"2","www.spsl.towerhamlets.sch.uk/"
"2","www.st-pauls.towerhamlets.sch.uk/"
"2","www.splds.org.uk"
"2","www.stsavioursschool.org.uk"
"2","www.englishmartyrs.towerhamlets.sch.uk"
"4","http://www.bow-school.org.uk"
"4","http://www.langdonparkschool.co.uk/"
"4","http://www.morpethschool.org.uk/"
"4","http://oaklands.towerhamlets.sch.uk/"
"4","www.swanlea.co.uk"
"4","http://www.georgegreens.com/"
"4","http://www.central.towerhamlets.sch.uk/"
"4","www.stepneyallsaints.school"
"2","www.alderbrookprimaryschool.co.uk"
"2","www.allfarthing.org.uk"
"2","www.beatrixpotterschool.com"
"2","www.brandlehowschool.org.uk"
"2","www.earlsfield.wandsworth.sch.uk"
"2","www.falconbrook.wandsworth.sch.uk/"
"2","www.fircroft.family"
"2","www.furzedownschool.co.uk"
"2","www.honeywellschools.org"
"2","www.honeywellschools.org"
"2","www.hothamprimaryschool.org.uk/"
"2","www.johnburns.wandsworth.sch.uk/"
"2","www.penwortham.wandsworth.sch.uk"
"2","www.riversdaleprimaryschool.org.uk"
"2","www.sellincourt.wandsworth.sch.uk"
"2","www.shaftesburypark.wandsworth.sch.uk/"
"2","www.smallwood.wandsworth.sch.uk/"
"2","www.swaffield.wandsworth.sch.uk"
"2","www.westhill.wandsworth.sch.uk"
"2","http://www.sheringdale.org/"
"2","www.southmeadschool.co.uk/"
"2","http://www.granardprimary.co.uk/"
